,Country,Freedom to make life choices,GDP per Capita,GDP per capita,Generosity,Government Trust,Happiness Rank,Happiness Score,Life Expectancy,Social support,Year
139,Comoros,0.22916999999999998,0.23906,,0.17440999999999998,0.19899999999999998,140,3.9560000000000004,0.36315,0.79273,2015
140,Uganda,0.45726999999999995,0.21101999999999999,,0.29066,0.07267,141,3.931,0.33860999999999997,1.13299,2015
141,Senegal,0.36772,0.36498,,0.20843000000000003,0.10712999999999999,142,3.904,0.4354,0.97619,2015
142,Gabon,0.31914000000000003,1.06024,,0.06822,0.11091,143,3.8960000000000004,0.43372,0.90528,2015
143,Niger,0.47691999999999996,0.0694,,0.19387000000000001,0.15639,144,3.845,0.29707,0.77265,2015
144,Cambodia,0.66246,0.46038,,0.40359,0.07247,145,3.819,0.61114,0.62736,2015
145,Tanzania,0.32878,0.2852,,0.34376999999999996,0.05747000000000001,146,3.781,0.38215,1.00268,2015
146,Madagascar,0.19184,0.20824,,0.21333000000000002,0.08123999999999999,147,3.681,0.46721,0.66801,2015
147,Central African Republic,0.48878999999999995,0.0785,,0.23835,0.08288999999999999,148,3.678,0.06699,0.0,2015
148,Chad,0.23501,0.34193,,0.18386,0.05269,149,3.667,0.1501,0.76062,2015
149,Guinea,0.37725,0.17417,,0.28657,0.12139000000000001,150,3.656,0.24009,0.46475,2015
150,Ivory Coast,0.46866,0.46534,,0.20165,0.17922000000000002,151,3.655,0.15185,0.77115,2015
151,Burkina Faso,0.39493,0.25811999999999996,,0.21746999999999997,0.12832000000000002,152,3.5869999999999997,0.27125,0.85188,2015
152,Afghanistan,0.23414000000000001,0.31982,,0.3651,0.09719,153,3.575,0.30335,0.30285,2015
153,Rwanda,0.59201,0.22208000000000003,,0.22628,0.55191,154,3.465,0.42863999999999997,0.7737,2015
154,Benin,0.4845,0.28665,,0.1826,0.0801,155,3.34,0.3191,0.35386,2015
155,Syria,0.15684,0.6632,,0.47179,0.18905999999999998,156,3.0060000000000002,0.7219300000000001,0.47489,2015
156,Burundi,0.1185,0.0153,,0.19727,0.10062,157,2.905,0.22396,0.41586999999999996,2015
157,Togo,0.36453,0.20868,,0.16680999999999999,0.10730999999999999,158,2.839,0.28443,0.13995,2015
0,Denmark,0.5794100000000001,1.4417799999999998,,0.36171,0.44453000000000004,1,7.526,0.79504,1.16374,2016
1,Switzerland,0.58557,1.5273299999999999,,0.28083,0.41203,2,7.5089999999999995,0.86303,1.14524,2016
2,Iceland,0.56624,1.42666,,0.47678000000000004,0.14975,3,7.501,0.8673299999999999,1.18326,2016
